lat,long
31.72611,-108.41014
31.72682,-108.41006
31.7275,-108.40982
31.7282,-108.40972
31.72886,-108.40985
31.72956,-108.40984
31.73024,-108.40988
31.73092,-108.40987
31.73162,-108.40992
31.73229,-108.41021
31.73296,-108.41051
31.73364,-108.41063
31.73427,-108.41098
31.73487,-108.41135
31.73556,-108.4113
31.73627,-108.41125
31.73699,-108.41119
31.73769,-108.41105
31.73841,-108.41096
31.73907,-108.4108
31.7397,-108.41118
31.74036,-108.41152
31.74101,-108.41187
31.74168,-108.41217
31.74236,-108.41243
31.74306,-108.41262
31.74376,-108.41279
31.74445,-108.41304
31.74515,-108.41313
31.74585,-108.41305
31.74649,-108.41335
31.74697,-108.41397
31.74757,-108.41437
31.74827,-108.4146
31.74896,-108.41483
31.74965,-108.41508
31.75032,-108.41538
31.751,-108.41567
31.75167,-108.41596
31.75235,-108.41622
31.75297,-108.41659
31.75364,-108.41689
31.75435,-108.41699
31.75499,-108.41736
31.75556,-108.41766
31.75624,-108.41795
31.7569,-108.41825
31.7576,-108.41846
31.75827,-108.41864
31.75893,-108.41897
31.75961,-108.41925
31.76029,-108.41952
31.76097,-108.41979
31.76166,-108.42001
31.76236,-108.42025
31.76303,-108.42055
31.76371,-108.42083
31.76439,-108.42107
31.76508,-108.42131
31.76576,-108.4216
31.76639,-108.42196
31.76703,-108.42235
31.76768,-108.4227
31.76837,-108.42293
31.76904,-108.4232
31.76972,-108.42344
31.7704,-108.42364
31.77105,-108.42401
31.77172,-108.42433
31.77241,-108.42457
31.7731,-108.42481
31.77378,-108.4251
31.77444,-108.42543
31.7751,-108.42569
31.77572,-108.42612
31.7764,-108.4264
31.77706,-108.42672
31.77763,-108.42723
31.77825,-108.42737
31.77884,-108.42689
31.77945,-108.42643
31.7801,-108.42609
31.78073,-108.42575
31.78143,-108.42588
31.78205,-108.42553
31.78269,-108.42556
31.78308,-108.42627
31.78373,-108.42641
31.78443,-108.42627
31.78512,-108.42606
31.78583,-108.42591
31.78653,-108.42577
31.78716,-108.42611
31.78754,-108.42682
31.78793,-108.42753
31.78859,-108.42767
31.78926,-108.42799
31.78989,-108.42841
31.79055,-108.42868
31.79126,-108.42854
31.79198,-108.42853
31.79269,-108.42847
31.79339,-108.42823
31.7941,-108.4281
31.79481,-108.42822
31.79552,-108.42822
31.79618,-108.42823
31.79686,-108.42798
31.79729,-108.42736
31.79779,-108.42791
31.79849,-108.42767
31.79913,-108.42783
31.7997,-108.42833
31.80031,-108.42878
31.80089,-108.42928
31.80149,-108.42976
31.80215,-108.43005
31.80282,-108.42987
31.80347,-108.42949
31.80409,-108.42906
31.8046,-108.42848
31.80518,-108.42833
31.80588,-108.42853
31.80645,-108.42808
31.80706,-108.42765
31.80775,-108.42773
31.80846,-108.42784
31.80918,-108.42783
